 ;AAA;Current boundaries as at ;    ;20130111                 ; ;                         ;    ;
A;FED;MCKELLAR                 ;2617;FRASER                   ;N;                         ;    ;
A;FED;MELBA                    ;2615;FRASER                   ;N;                         ;    ;
A;FED;MITCHELL                 ;2911;FRASER                   ;N;                         ;    ;
A;FED;MOLONGLO VALLEY DISTRICT ;2611;FRASER                   ;N;                         ;    ;
A;FED;MONASH                   ;2904;CANBERRA                 ;N;                         ;    ;
A;FED;MOUNT STROMLO            ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;NARRABUNDAH              ;2604;CANBERRA                 ;N;                         ;    ;
A;FED;NGUNNAWAL                ;2913;FRASER                   ;N;                         ;    ;
A;FED;NICHOLLS                 ;2913;FRASER                   ;N;                         ;    ;
A;FED;O'CONNOR                 ;2602;FRASER                   ;N;                         ;    ;
A;FED;O'MALLEY                 ;2606;CANBERRA                 ;N;                         ;    ;
A;FED;OAKS ESTATE              ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;OXLEY                    ;2903;CANBERRA                 ;N;                         ;    ;
A;FED;PADDYS RIVER DISTRICT    ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;PAGE                     ;2614;FRASER                   ;N;                         ;    ;
A;FED;PALMERSTON               ;2913;FRASER                   ;N;                         ;    ;
A;FED;PARKES                   ;2600;CANBERRA                 ;N;                         ;    ;
A;FED;PARKES                   ;2600;FRASER                   ;N;                         ;    ;
A;FED;PEARCE                   ;2607;CANBERRA                 ;N;                         ;    ;
A;FED;PHILLIP                  ;2606;CANBERRA                 ;N;                         ;    ;
A;FED;PIALLIGO                 ;2609;FRASER                   ;N;                         ;    ;
A;FED;PIERCES CREEK            ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;RED HILL                 ;2603;CANBERRA                 ;N;                         ;    ;
A;FED;REID                     ;2612;FRASER                   ;N;                         ;    ;
A;FED;RENDEZVOUS CREEK DISTRICT;2620;CANBERRA                 ;N;                         ;    ;
A;FED;RICHARDSON               ;2905;CANBERRA                 ;N;                         ;    ;
A;FED;RIVETT                   ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;ROYALLA                  ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;SCULLIN                  ;2614;FRASER                   ;N;                         ;    ;
A;FED;SPENCE                   ;2615;FRASER                   ;N;                         ;    ;
A;FED;STIRLING                 ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;STROMLO                  ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;STROMLO DISTRICT         ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;SWINGER HILL             ;2606;CANBERRA                 ;Y;PHILLIP                  ;2606;
A;FED;SYMONSTON                ;2609;CANBERRA                 ;N;                         ;    ;
A;FED;TENNENT DISTRICT         ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;THARWA                   ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;THEODORE                 ;2905;CANBERRA                 ;N;                         ;    ;
A;FED;TORRENS                  ;2607;CANBERRA                 ;N;                         ;    ;
A;FED;TUGGERANONG DISTRICT     ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;TURNER                   ;2612;FRASER                   ;N;                         ;    ;
A;FED;URIARRA                  ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;WANNIASSA                ;2903;CANBERRA                 ;N;                         ;    ;
A;FED;WARAMANGA                ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;WATSON                   ;2602;FRASER                   ;N;                         ;    ;
A;FED;WEETANGERA               ;2614;FRASER                   ;N;                         ;    ;
A;FED;WESTON                   ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;WESTON CREEK DISTRICT    ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;WILLIAMSDALE             ;2620;CANBERRA                 ;N;                         ;    ;
A;FED;WRECK BAY                ;2540;FRASER                   ;N;                         ;    ;
A;FED;WRIGHT                   ;2611;CANBERRA                 ;N;                         ;    ;
A;FED;YARRALUMLA               ;2600;CANBERRA                 ;N;                         ;    ;
D;FED;ABBOTS CAMP              ;0870;LINGIARI                 ;Y;MPWETYERRE               ;0870;
D;FED;ACACIA HILLS             ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ACACIA LARRAKIA          ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ADBANAE                  ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ADDER STN                ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;ADELAIDE BORE            ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ADELAIDE RIVER           ;0846;LINGIARI                 ;N;                         ;    ;
D;FED;ADJAMARRAGU              ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;AILERON                  ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AILERON STN              ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AKANTA                   ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AKARNENEHE WELL          ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AKNGWERTNARRE            ;0870;LINGIARI                 ;N;                         ;    ;
D;FED;AKWALIRRUMANJA           ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ALAMIRRA                 ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ALATYEYE                 ;0872;LINGIARI                 ;Y;TURNERS CAMP             ;0872;
D;FED;ALAWA                    ;0810;SOLOMON                  ;N;                         ;    ;
D;FED;ALBANY PARK              ;0845;LINGIARI                 ;N;                         ;    ;
D;FED;ALCOOTA STN              ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALEKERUNGE               ;0872;LINGIARI                 ;Y;ALI CURUNG               ;0872;
D;FED;ALEXANDRIA STN           ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;ALHARRGAN                ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;ALI CURUNG               ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALICE SPRINGS            ;0870;LINGIARI                 ;N;                         ;    ;
D;FED;ALICE WELL               ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALINJIRRI WARNKKAR       ;0862;LINGIARI                 ;Y;LIKKAPARTA               ;0862;
D;FED;ALKIPI                   ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALKNGARRIINTJA           ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALKUPTIJA                ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALKURALKWA               ;0872;LINGIARI                 ;Y;LITTLE WELL              ;0872;
D;FED;ALLAMBI STN              ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALPARA                   ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALPURRURULAM             ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALROY DOWNS STN          ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;ALUM                     ;0872;LINGIARI                 ;Y;ALYUEN                   ;0872;
D;FED;ALURALKA                 ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ALYANGULA                ;0885;LINGIARI                 ;N;                         ;    ;
D;FED;ALYINGBERRMA             ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ALYUEN                   ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AMALILPIL                ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;AMANBIDJI                ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;AMANBURNUNGA             ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;AMANGAL                  ;0846;LINGIARI                 ;N;                         ;    ;
D;FED;AMATJATPALK              ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;AMBALINDUM STN           ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AMBURLA STN              ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AMENGERNTERNEAH          ;0861;LINGIARI                 ;N;                         ;    ;
D;FED;AMIRRABA                 ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;AMMAROO STN              ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AMOONGUNA                ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AMPILATWATJA             ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AMPUTJUTA                ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AMUNDURNGUA              ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AMUNDURRNGU SPRING       ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AMUNGEE MUNGEE STN       ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;ANDADO STN               ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANDANANGKI               ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;ANGAS DOWNS              ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANGATYEPE                ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANGAWANGERE              ;0872;LINGIARI                 ;Y;INKAWENYERRE             ;0872;
D;FED;ANGKARRIPA               ;0872;LINGIARI                 ;Y;ANKERRAPW                ;0872;
D;FED;ANGKERLE ARRENGE A       ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANGKERLE ARRENGE B       ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANGULA                   ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANGURUGU                 ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ANGWURA                  ;0880;LINGIARI                 ;N;                         ;    ;
D;FED;ANILTJIY                 ;0862;LINGIARI                 ;Y;ATNELTYEY                ;0862;
D;FED;ANKABADBIRRI             ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ANKERRAPW                ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANKWELEYELENGKWE         ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANMATJERE                ;0872;LINGIARI                 ;Y;10 MILE OUTSTATION       ;0872;
D;FED;ANNABURROO               ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ANNABURROO BILLABONG     ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ANNABURROO STN           ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ANNERRE                  ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANNIE RIVER              ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ANNINGIE                 ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANNITOWA STN             ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANTARRINGINYA            ;0872;LINGIARI                 ;Y;INDARINGINYA             ;0872;
D;FED;ANTERE                   ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANTHELK-EWLPAYE          ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ANTHEPE                  ;0870;LINGIARI                 ;N;                         ;    ;
D;FED;ANTHONY LAGOON STN       ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;ANULA                    ;0812;SOLOMON                  ;N;                         ;    ;
D;FED;ANYUMGYUMBA              ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;APATULA                  ;0872;LINGIARI                 ;Y;FINKE                    ;0872;
D;FED;APER-ALWERRKNGE          ;0870;LINGIARI                 ;N;                         ;    ;
D;FED;ARALUEN                  ;0870;LINGIARI                 ;N;                         ;    ;
D;FED;ARAPUNYA STN             ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARARLAGU                 ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ARARU POINT              ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ARAWERR                  ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARCHER                   ;0830;SOLOMON                  ;N;                         ;    ;
D;FED;AREYONGA                 ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARGADARGADA STN          ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARID GOLD FARM           ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARKARNANA                ;0872;LINGIARI                 ;Y;BONYA BAIKAL             ;0872;
D;FED;ARLPARRA                 ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARLTUNGA                 ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARMITJIRA CAMP           ;0870;LINGIARI                 ;Y;HOPPYS CAMP              ;0870;
D;FED;ARMORRAN                 ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ARMSTRONGS               ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARNERRE                  ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;AROONA STN               ;0852;LINGIARI                 ;N;                         ;    ;
D;FED;ARRAWAJIN                ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;ARRAWARRA                ;0872;LINGIARI                 ;Y;ARAWERR                  ;0872;
D;FED;ARRGAMURRMUR             ;0822;LINGIARI                 ;N;                         ;    ;
D;FED;ARRILLHJERE              ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARRKAPA                  ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARRUNGE                  ;0872;LINGIARI                 ;N;                         ;    ;
D;FED;ARRUWURRU STN            ;0862;LINGIARI                 ;N;                         ;    ;
D;FED;ARSY                     ;0822;LINGIARI                 ;Y;WURRUMIYANGA             ;0822;
D;FED;ARTEKERR                 ;0872;LINGIARI                 ;N;                         ;    ;
