 ;AAA;Current boundaries as at ;    ;20130111                 ; ;                         ;    ;
N;FED;LURLINE BAY              ;2035;KINGSFORD SMITH          ;Y;MAROUBRA                 ;2035;
N;FED;LURLINE BAY              ;2035;KINGSFORD SMITH          ;Y;SOUTH COOGEE             ;2034;
N;FED;LURNEA                   ;2170;WERRIWA                  ;N;                         ;    ;
N;FED;LUSKINTYRE               ;2321;PATERSON                 ;N;                         ;    ;
N;FED;LYNCHS CREEK             ;2474;PAGE                     ;N;                         ;    ;
N;FED;LYNDHURST                ;2350;NEW ENGLAND              ;N;                         ;    ;
N;FED;LYNDHURST                ;2797;CALARE                   ;N;                         ;    ;
N;FED;LYNDHURST                ;2797;HUME                     ;N;                         ;    ;
N;FED;LYNWOOD                  ;2477;PAGE                     ;N;                         ;    ;
N;FED;MABINS WELL              ;2716;FARRER                   ;N;                         ;    ;
N;FED;MABINS WELL              ;2716;RIVERINA                 ;N;                         ;    ;
N;FED;MACDONALDS CREEK         ;2339;NEW ENGLAND              ;N;                         ;    ;
N;FED;MACDONALDTOWN            ;2042;GRAYNDLER                ;Y;NEWTOWN                  ;2042;
N;FED;MACDONALDTOWN            ;2042;SYDNEY                   ;Y;NEWTOWN                  ;2042;
N;FED;MACKSVILLE               ;2447;COWPER                   ;N;                         ;    ;
N;FED;MACLEAN                  ;2463;COWPER                   ;N;                         ;    ;
N;FED;MACLEAY PARK             ;2440;COWPER                   ;Y;YARRAVEL                 ;2440;
N;FED;MACMASTERS BEACH         ;2251;ROBERTSON                ;N;                         ;    ;
N;FED;MACQUARIE FIELDS         ;2564;WERRIWA                  ;N;                         ;    ;
N;FED;MACQUARIE HILLS          ;2285;CHARLTON                 ;N;                         ;    ;
N;FED;MACQUARIE LINKS          ;2565;WERRIWA                  ;N;                         ;    ;
N;FED;MACQUARIE MARSHES        ;2831;PARKES                   ;N;                         ;    ;
N;FED;MACQUARIE PARK           ;2113;BENNELONG                ;N;                         ;    ;
N;FED;MACQUARIE PASS           ;2577;THROSBY                  ;N;                         ;    ;
N;FED;MADDENS PLAINS           ;2508;CUNNINGHAM               ;N;                         ;    ;
N;FED;MAFFRA                   ;2630;EDEN-MONARO              ;N;                         ;    ;
N;FED;MAGENTA                  ;2261;DOBELL                   ;N;                         ;    ;
N;FED;MAGOMETON                ;2829;PARKES                   ;N;                         ;    ;
N;FED;MAIANBAR                 ;2230;CUNNINGHAM               ;N;                         ;    ;
N;FED;MAIMURU                  ;2594;HUME                     ;N;                         ;    ;
N;FED;MAIN ARM                 ;2482;RICHMOND                 ;N;                         ;    ;
N;FED;MAIN CREEK               ;2420;PATERSON                 ;N;                         ;    ;
N;FED;MAISON DIEU              ;2330;HUNTER                   ;N;                         ;    ;
N;FED;MAITLAND                 ;2320;HUNTER                   ;N;                         ;    ;
N;FED;MAITLAND BAR             ;2850;PARKES                   ;N;                         ;    ;
N;FED;MAITLAND VALE            ;2320;PATERSON                 ;N;                         ;    ;
N;FED;MAJORS CREEK             ;2622;EDEN-MONARO              ;N;                         ;    ;
N;FED;MALABAR                  ;2036;KINGSFORD SMITH          ;N;                         ;    ;
N;FED;MALABUGILMAH             ;2460;PAGE                     ;N;                         ;    ;
N;FED;MALDON                   ;2571;HUME                     ;N;                         ;    ;
N;FED;MALLABULA                ;2319;PATERSON                 ;N;                         ;    ;
N;FED;MALLAN                   ;3586;FARRER                   ;N;                         ;    ;
N;FED;MALLANGANEE              ;2469;PAGE                     ;N;                         ;    ;
N;FED;MALLOWA                  ;2400;PARKES                   ;N;                         ;    ;
N;FED;MALONEYS BEACH           ;2536;EDEN-MONARO              ;N;                         ;    ;
N;FED;MALUA BAY                ;2536;EDEN-MONARO              ;N;                         ;    ;
N;FED;MANAR                    ;2622;EDEN-MONARO              ;N;                         ;    ;
N;FED;MANCHESTER SQUARE        ;2577;THROSBY                  ;N;                         ;    ;
N;FED;MANDAGERY                ;2870;CALARE                   ;N;                         ;    ;
N;FED;MANDALONG                ;2264;CHARLTON                 ;N;                         ;    ;
N;FED;MANDEMAR                 ;2575;HUME                     ;N;                         ;    ;
N;FED;MANDURAMA                ;2792;CALARE                   ;N;                         ;    ;
N;FED;MANDURAMA                ;2792;HUME                     ;N;                         ;    ;
N;FED;MANGERTON                ;2500;CUNNINGHAM               ;N;                         ;    ;
N;FED;MANGOOLA                 ;2328;HUNTER                   ;N;                         ;    ;
N;FED;MANGOPLAH                ;2652;RIVERINA                 ;N;                         ;    ;
N;FED;MANGROVE CREEK           ;2250;ROBERTSON                ;N;                         ;    ;
N;FED;MANGROVE MOUNTAIN        ;2250;ROBERTSON                ;N;                         ;    ;
N;FED;MANILDRA                 ;2865;CALARE                   ;N;                         ;    ;
N;FED;MANILLA                  ;2346;NEW ENGLAND              ;N;                         ;    ;
N;FED;MANLY                    ;2095;WARRINGAH                ;N;                         ;    ;
N;FED;MANLY VALE               ;2093;WARRINGAH                ;N;                         ;    ;
N;FED;MANNERING PARK           ;2259;SHORTLAND                ;N;                         ;    ;
N;FED;MANNING POINT            ;2430;LYNE                     ;N;                         ;    ;
N;FED;MANNUS                   ;2653;RIVERINA                 ;N;                         ;    ;
N;FED;MANOBALAI                ;2333;HUNTER                   ;N;                         ;    ;
N;FED;MANTON                   ;2582;HUME                     ;N;                         ;    ;
N;FED;MANYANA                  ;2539;GILMORE                  ;N;                         ;    ;
N;FED;MARAGLE                  ;2653;RIVERINA                 ;N;                         ;    ;
N;FED;MARAYLYA                 ;2765;BEROWRA                  ;N;                         ;    ;
N;FED;MARAYLYA                 ;2765;MACQUARIE                ;N;                         ;    ;
N;FED;MARAYLYA                 ;2765;MITCHELL                 ;N;                         ;    ;
N;FED;MARAYONG                 ;2148;CHIFLEY                  ;N;                         ;    ;
N;FED;MARCH                    ;2800;CALARE                   ;N;                         ;    ;
N;FED;MARCHMONT                ;2582;HUME                     ;N;                         ;    ;
N;FED;MARDI                    ;2259;DOBELL                   ;N;                         ;    ;
N;FED;MARENGO                  ;2453;PAGE                     ;N;                         ;    ;
N;FED;MARES RUN                ;2422;LYNE                     ;N;                         ;    ;
N;FED;MARINNA                  ;2663;RIVERINA                 ;N;                         ;    ;
N;FED;MARKS POINT              ;2280;SHORTLAND                ;N;                         ;    ;
N;FED;MARKWELL                 ;2423;PATERSON                 ;N;                         ;    ;
N;FED;MARLEE                   ;2429;LYNE                     ;N;                         ;    ;
N;FED;MARLO MERRICAN           ;2446;LYNE                     ;N;                         ;    ;
N;FED;MARLOW                   ;2775;ROBERTSON                ;N;                         ;    ;
N;FED;MARLOWE                  ;2622;EDEN-MONARO              ;N;                         ;    ;
N;FED;MARMONG POINT            ;2284;CHARLTON                 ;N;                         ;    ;
N;FED;MAROM CREEK              ;2480;PAGE                     ;N;                         ;    ;
N;FED;MAROOTA                  ;2756;BEROWRA                  ;N;                         ;    ;
N;FED;MAROUBRA                 ;2035;KINGSFORD SMITH          ;N;                         ;    ;
N;FED;MAROUBRA BAY             ;2035;KINGSFORD SMITH          ;Y;MAROUBRA                 ;2035;
N;FED;MAROUBRA BEACH           ;2035;KINGSFORD SMITH          ;Y;MAROUBRA                 ;2035;
N;FED;MAROUBRA JUNCTION        ;2035;KINGSFORD SMITH          ;Y;MAROUBRA                 ;2035;
N;FED;MARRANGAROO              ;2790;CALARE                   ;N;                         ;    ;
N;FED;MARRAR                   ;2652;RIVERINA                 ;N;                         ;    ;
N;FED;MARRICKVILLE             ;2204;GRAYNDLER                ;N;                         ;    ;
N;FED;MARSDEN PARK             ;2765;CHIFLEY                  ;N;                         ;    ;
N;FED;MARSFIELD                ;2122;BENNELONG                ;N;                         ;    ;
N;FED;MARSHALL MOUNT           ;2530;THROSBY                  ;N;                         ;    ;
N;FED;MARSHDALE                ;2420;PATERSON                 ;N;                         ;    ;
N;FED;MARTHAGUY                ;2824;PARKES                   ;N;                         ;    ;
N;FED;MARTINDALE               ;2328;HUNTER                   ;N;                         ;    ;
N;FED;MARTINS CREEK            ;2420;PATERSON                 ;N;                         ;    ;
N;FED;MARTINSVILLE             ;2265;CHARLTON                 ;N;                         ;    ;
N;FED;MARULAN                  ;2579;HUME                     ;N;                         ;    ;
N;FED;MARULAN SOUTH            ;2579;HUME                     ;Y;MARULAN                  ;2579;
N;FED;MARYLAND                 ;2287;CHARLTON                 ;N;                         ;    ;
N;FED;MARYLAND                 ;4377;NEW ENGLAND              ;N;                         ;    ;
N;FED;MARYS MOUNT              ;2380;NEW ENGLAND              ;N;                         ;    ;
N;FED;MARYVALE                 ;2820;PARKES                   ;N;                         ;    ;
N;FED;MARYVILLE                ;2293;NEWCASTLE                ;N;                         ;    ;
N;FED;MASCOT                   ;2020;KINGSFORD SMITH          ;N;                         ;    ;
N;FED;MATCHAM                  ;2250;DOBELL                   ;N;                         ;    ;
N;FED;MATHESON                 ;2370;NEW ENGLAND              ;N;                         ;    ;
N;FED;MATHOURA                 ;2710;FARRER                   ;N;                         ;    ;
N;FED;MATONG                   ;2652;RIVERINA                 ;N;                         ;    ;
N;FED;MATRAVILLE               ;2036;KINGSFORD SMITH          ;N;                         ;    ;
N;FED;MAUDE                    ;2711;FARRER                   ;N;                         ;    ;
N;FED;MAULES CREEK             ;2382;PARKES                   ;N;                         ;    ;
N;FED;MAXWELL                  ;2650;RIVERINA                 ;N;                         ;    ;
N;FED;MAYBOLE                  ;2365;NEW ENGLAND              ;N;                         ;    ;
N;FED;MAYERS FLAT              ;2423;PATERSON                 ;N;                         ;    ;
N;FED;MAYFIELD                 ;2304;NEWCASTLE                ;N;                         ;    ;
N;FED;MAYFIELD                 ;2540;GILMORE                  ;N;                         ;    ;
N;FED;MAYFIELD                 ;2622;EDEN-MONARO              ;N;                         ;    ;
N;FED;MAYFIELD                 ;2787;CALARE                   ;N;                         ;    ;
N;FED;MAYFIELD EAST            ;2304;NEWCASTLE                ;N;                         ;    ;
N;FED;MAYFIELD NORTH           ;2304;NEWCASTLE                ;N;                         ;    ;
N;FED;MAYFIELD WEST            ;2304;NEWCASTLE                ;N;                         ;    ;
N;FED;MAYNARDS PLAINS          ;2453;COWPER                   ;N;                         ;    ;
N;FED;MAYRUNG                  ;2710;FARRER                   ;N;                         ;    ;
N;FED;MAYS HILL                ;2145;PARRAMATTA               ;N;                         ;    ;
N;FED;MAYVALE                  ;2347;NEW ENGLAND              ;N;                         ;    ;
N;FED;MCCARRS CREEK            ;2105;MACKELLAR                ;N;                         ;    ;
N;FED;MCCULLYS GAP             ;2333;HUNTER                   ;N;                         ;    ;
N;FED;MCDOUGALLS HILL          ;2330;HUNTER                   ;N;                         ;    ;
N;FED;MCGRATHS HILL            ;2756;MACQUARIE                ;N;                         ;    ;
N;FED;MCKEES HILL              ;2480;PAGE                     ;N;                         ;    ;
N;FED;MCKELLARS PARK           ;2790;CALARE                   ;N;                         ;    ;
N;FED;MCLEANS RIDGES           ;2480;PAGE                     ;N;                         ;    ;
N;FED;MCLEODS SHOOT            ;2479;RICHMOND                 ;N;                         ;    ;
N;FED;MCMAHONS POINT           ;2060;NORTH SYDNEY             ;N;                         ;    ;
N;FED;MCPHERSONS CROSSING      ;2460;COWPER                   ;Y;BRAUNSTONE               ;2460;
N;FED;MCPHERSONS CROSSING      ;2460;PAGE                     ;Y;BRAUNSTONE               ;2460;
N;FED;MEADOW FLAT              ;2795;CALARE                   ;N;                         ;    ;
N;FED;MEADOWBANK               ;2114;BENNELONG                ;N;                         ;    ;
N;FED;MEBUL                    ;2852;PARKES                   ;N;                         ;    ;
N;FED;MEDLOW BATH              ;2780;MACQUARIE                ;N;                         ;    ;
N;FED;MEDOWIE                  ;2318;PATERSON                 ;N;                         ;    ;
N;FED;MEDWAY                   ;2577;HUME                     ;N;                         ;    ;
N;FED;MEDWAY                   ;2820;PARKES                   ;N;                         ;    ;
N;FED;MEERSCHAUM VALE          ;2477;PAGE                     ;N;                         ;    ;
N;FED;MEGALONG                 ;2785;MACQUARIE                ;Y;MEGALONG VALLEY          ;2785;
N;FED;MEGALONG VALLEY          ;2785;MACQUARIE                ;N;                         ;    ;
N;FED;MEGAN                    ;2453;COWPER                   ;N;                         ;    ;
N;FED;MELBERGEN                ;2669;RIVERINA                 ;N;                         ;    ;
N;FED;MELDRUM                  ;2453;COWPER                   ;Y;DORRIGO                  ;2453;
N;FED;MELINGA                  ;2430;LYNE                     ;N;                         ;    ;
N;FED;MELLONG                  ;2756;MACQUARIE                ;N;                         ;    ;
N;FED;MELLOOL                  ;2734;FARRER                   ;N;                         ;    ;
N;FED;MELROSE PARK             ;2114;BENNELONG                ;N;                         ;    ;
N;FED;MELVILLE                 ;2320;PATERSON                 ;N;                         ;    ;
N;FED;MEMAGONG                 ;2594;HUME                     ;N;                         ;    ;
N;FED;MENAH                    ;2850;PARKES                   ;N;                         ;    ;
N;FED;MENAI                    ;2234;HUGHES                   ;N;                         ;    ;
N;FED;MENANGLE                 ;2568;MACARTHUR                ;N;                         ;    ;
N;FED;MENANGLE PARK            ;2563;MACARTHUR                ;N;                         ;    ;
N;FED;MENDOORAN                ;2842;PARKES                   ;N;                         ;    ;
N;FED;MENINDEE                 ;2879;FARRER                   ;N;                         ;    ;
N;FED;MERAH NORTH              ;2388;PARKES                   ;N;                         ;    ;
N;FED;MEREWETHER               ;2291;NEWCASTLE                ;N;                         ;    ;
N;FED;MEREWETHER HEIGHTS       ;2291;NEWCASTLE                ;N;                         ;    ;
N;FED;MERIMBULA                ;2548;EDEN-MONARO              ;N;                         ;    ;
N;FED;MERINGO                  ;2537;EDEN-MONARO              ;N;                         ;    ;
N;FED;MEROO                    ;2850;PARKES                   ;N;                         ;    ;
N;FED;MEROO MEADOW             ;2540;GILMORE                  ;N;                         ;    ;
N;FED;MEROTHERIE               ;2844;PARKES                   ;N;                         ;    ;
N;FED;MEROTHERIE               ;2852;PARKES                   ;N;                         ;    ;
N;FED;MERRIANGAAH              ;2632;EDEN-MONARO              ;N;                         ;    ;
N;FED;MERRICUMBENE             ;2622;EDEN-MONARO              ;N;                         ;    ;
N;FED;MERRIGAL                 ;2827;PARKES                   ;N;                         ;    ;
N;FED;MERRILL                  ;2581;HUME                     ;N;                         ;    ;
N;FED;MERRIWA                  ;2329;HUNTER                   ;N;                         ;    ;
N;FED;MERRIWAGGA               ;2652;RIVERINA                 ;N;                         ;    ;
N;FED;MERRY BEACH              ;2539;GILMORE                  ;N;                         ;    ;
N;FED;MERRYGOEN                ;2831;PARKES                   ;N;                         ;    ;
N;FED;MERRYLANDS               ;2160;BLAXLAND                 ;N;                         ;    ;
N;FED;MERRYLANDS               ;2160;MCMAHON                  ;N;                         ;    ;
N;FED;MERRYLANDS               ;2160;PARRAMATTA               ;N;                         ;    ;
N;FED;MERRYLANDS WEST          ;2160;MCMAHON                  ;N;                         ;    ;
N;FED;MERRYLANDS WEST          ;2160;PARRAMATTA               ;N;                         ;    ;
N;FED;MERUNGLE HILL            ;2705;RIVERINA                 ;N;                         ;    ;
N;FED;MERYLA                   ;2577;THROSBY                  ;N;                         ;    ;
N;FED;METFORD                  ;2323;PATERSON                 ;N;                         ;    ;
N;FED;METHUL                   ;2701;RIVERINA                 ;N;                         ;    ;
N;FED;MIAMLEY                  ;2873;PARKES                   ;N;                         ;    ;
N;FED;MIANDETTA                ;2825;PARKES                   ;N;                         ;    ;
N;FED;MICALO ISLAND            ;2464;PAGE                     ;N;                         ;    ;
N;FED;MICHELAGO                ;2620;EDEN-MONARO              ;N;                         ;    ;
N;FED;MID SAPPHIRE             ;2450;COWPER                   ;Y;SAPPHIRE BEACH           ;2450;
N;FED;MIDDLE ARM               ;2580;HUME                     ;N;                         ;    ;
N;FED;MIDDLE BOAMBEE           ;2450;COWPER                   ;Y;BOAMBEE                  ;2450;
N;FED;MIDDLE BROOK             ;2337;HUNTER                   ;N;                         ;    ;
N;FED;MIDDLE BROTHER           ;2443;LYNE                     ;N;                         ;    ;
N;FED;MIDDLE COVE              ;2068;NORTH SYDNEY             ;N;                         ;    ;
N;FED;MIDDLE DURAL             ;2158;BEROWRA                  ;N;                         ;    ;
N;FED;MIDDLE FALBROOK          ;2330;HUNTER                   ;N;                         ;    ;
N;FED;MIDDLE FLAT              ;2630;EDEN-MONARO              ;N;                         ;    ;
N;FED;MIDDLE POCKET            ;2483;RICHMOND                 ;N;                         ;    ;
N;FED;MIDDLETON GRANGE         ;2171;FOWLER                   ;N;                         ;    ;
N;FED;MIDDLINGBANK             ;2630;EDEN-MONARO              ;N;                         ;    ;
N;FED;MIDGINBIL                ;2484;RICHMOND                 ;N;                         ;    ;
N;FED;MIHI                     ;2358;NEW ENGLAND              ;N;                         ;    ;
N;FED;MILA                     ;2632;EDEN-MONARO              ;N;                         ;    ;
N;FED;MILBRODALE               ;2330;HUNTER                   ;N;                         ;    ;
N;FED;MILBRULONG               ;2656;FARRER                   ;N;                         ;    ;
N;FED;MILKERS FLAT             ;2795;CALARE                   ;N;                         ;    ;
N;FED;MILLAH MURRAH            ;2795;CALARE                   ;N;                         ;    ;
N;FED;MILLBANK                 ;2440;COWPER                   ;N;                         ;    ;
N;FED;MILLER                   ;2168;FOWLER                   ;N;                         ;    ;
N;FED;MILLERS FOREST           ;2324;PATERSON                 ;N;                         ;    ;
N;FED;MILLERS POINT            ;2000;SYDNEY                   ;N;                         ;    ;
N;FED;MILLFIELD                ;2325;HUNTER                   ;N;                         ;    ;
N;FED;MILLIE                   ;2397;PARKES                   ;N;                         ;    ;
N;FED;MILLINGANDI              ;2549;EDEN-MONARO              ;N;                         ;    ;
N;FED;MILLTHORPE               ;2798;CALARE                   ;N;                         ;    ;
N;FED;MILPARINKA               ;2880;FARRER                   ;N;                         ;    ;
N;FED;MILPERRA                 ;2214;BLAXLAND                 ;N;                         ;    ;
N;FED;MILPERRA                 ;2214;HUGHES                   ;N;                         ;    ;
N;FED;MILROY                   ;2380;NEW ENGLAND              ;N;                         ;    ;
N;FED;MILROY                   ;2850;PARKES                   ;N;                         ;    ;
N;FED;MILSONS PASSAGE          ;2083;BEROWRA                  ;N;                         ;    ;
N;FED;MILSONS POINT            ;2061;NORTH SYDNEY             ;N;                         ;    ;
N;FED;MILTON                   ;2538;GILMORE                  ;N;                         ;    ;
N;FED;MILVALE                  ;2594;HUME                     ;N;                         ;    ;
N;FED;MIMOSA                   ;2666;RIVERINA                 ;N;                         ;    ;
N;FED;MINCHINBURY              ;2770;CHIFLEY                  ;N;                         ;    ;
N;FED;MINDARIBBA               ;2320;PATERSON                 ;N;                         ;    ;
N;FED;MINGOOLA                 ;2372;NEW ENGLAND              ;N;                         ;    ;
N;FED;MINIMBAH                 ;2312;PATERSON                 ;N;                         ;    ;
N;FED;MINJARY                  ;2720;RIVERINA                 ;N;                         ;    ;
N;FED;MINMI                    ;2287;CHARLTON                 ;N;                         ;    ;
N;FED;MINNAMURRA               ;2533;GILMORE                  ;N;                         ;    ;
N;FED;MINNIE WATER             ;2462;COWPER                   ;N;                         ;    ;
N;FED;MINORE                   ;2830;PARKES                   ;N;                         ;    ;
N;FED;MINTO                    ;2566;WERRIWA                  ;N;                         ;    ;
N;FED;MINTO HEIGHTS            ;2566;WERRIWA                  ;N;                         ;    ;
N;FED;MIRADOR                  ;2548;EDEN-MONARO              ;N;                         ;    ;
N;FED;MIRANDA                  ;2228;COOK                     ;N;                         ;    ;
N;FED;MIRANNIE                 ;2330;HUNTER                   ;N;                         ;    ;
N;FED;MIRRABOOKA               ;2264;CHARLTON                 ;N;                         ;    ;
N;FED;MIRROOL                  ;2665;RIVERINA                 ;N;                         ;    ;
N;FED;MISSABOTTI               ;2449;COWPER                   ;N;                         ;    ;
N;FED;MITCHELL                 ;2795;CALARE                   ;N;                         ;    ;
N;FED;MITCHELLS FLAT           ;2330;HUNTER                   ;N;                         ;    ;
N;FED;MITCHELLS ISLAND         ;2430;LYNE                     ;N;                         ;    ;
N;FED;MITTAGONG                ;2575;THROSBY                  ;N;                         ;    ;
N;FED;MOAMA                    ;2731;FARRER                   ;N;                         ;    ;
N;FED;MODANVILLE               ;2480;RICHMOND                 ;N;                         ;    ;
N;FED;MOGAREEKA                ;2550;EDEN-MONARO              ;N;                         ;    ;
N;FED;MOGENDOURA               ;2537;EDEN-MONARO              ;N;                         ;    ;
N;FED;MOGGS SWAMP              ;2370;NEW ENGLAND              ;N;                         ;    ;
N;FED;MOGILLA                  ;2550;EDEN-MONARO              ;N;                         ;    ;
N;FED;MOGO                     ;2536;EDEN-MONARO              ;N;                         ;    ;
N;FED;MOGO                     ;2850;PARKES                   ;N;                         ;    ;
N;FED;MOGO CREEK               ;2775;MACQUARIE                ;N;                         ;    ;
N;FED;MOGOOD                   ;2536;GILMORE                  ;N;                         ;    ;
N;FED;MOGRANI                  ;2422;LYNE                     ;N;                         ;    ;
N;FED;MOGRIGUY                 ;2830;PARKES                   ;N;                         ;    ;
N;FED;MOLE RIVER               ;2372;NEW ENGLAND              ;N;                         ;    ;
N;FED;MOLETON                  ;2450;COWPER                   ;Y;LOWANNA                  ;2450;
N;FED;MOLEVILLE CREEK          ;2460;PAGE                     ;N;                         ;    ;
N;FED;MOLEVILLE ROCKS          ;2460;PAGE                     ;Y;MOLEVILLE CREEK          ;2460;
N;FED;MOLLYAN                  ;2842;PARKES                   ;N;                         ;    ;
N;FED;MOLLYMOOK                ;2539;GILMORE                  ;N;                         ;    ;
N;FED;MOLLYMOOK BEACH          ;2539;GILMORE                  ;N;                         ;    ;
N;FED;MOLONG                   ;2866;CALARE                   ;N;                         ;    ;
N;FED;MONA VALE                ;2103;MACKELLAR                ;N;                         ;    ;
N;FED;MONAK                    ;2738;FARRER                   ;N;                         ;    ;
N;FED;MONALTRIE                ;2480;PAGE                     ;N;                         ;    ;
N;FED;MONASH PARK              ;2111;BENNELONG                ;Y;GLADESVILLE              ;2111;
N;FED;MONASH PARK              ;2111;NORTH SYDNEY             ;Y;GLADESVILLE              ;2111;
N;FED;MONDAYONG                ;2540;GILMORE                  ;N;                         ;    ;
N;FED;MONDROOK                 ;2430;LYNE                     ;N;                         ;    ;
N;FED;MONGA                    ;2622;EDEN-MONARO              ;N;                         ;    ;
N;FED;MONGARLOWE               ;2622;EDEN-MONARO              ;N;                         ;    ;
N;FED;MONGOGARIE               ;2470;PAGE                     ;N;                         ;    ;
N;FED;MONIA GAP                ;2675;RIVERINA                 ;N;                         ;    ;
N;FED;MONIVAE                  ;2850;HUNTER                   ;N;                         ;    ;
N;FED;MONIVAE                  ;2850;PARKES                   ;N;                         ;    ;
N;FED;MONKERAI                 ;2415;PATERSON                 ;N;                         ;    ;
N;FED;MONTEAGLE                ;2594;HUME                     ;N;                         ;    ;
N;FED;MONTECOLLUM              ;2482;RICHMOND                 ;N;                         ;    ;
N;FED;MONTEFIORES              ;2820;PARKES                   ;N;                         ;    ;
N;FED;MONTEREY                 ;2217;BARTON                   ;N;                         ;    ;
N;FED;MOOBALL                  ;2483;RICHMOND                 ;N;                         ;    ;
N;FED;MOOBI                    ;2337;HUNTER                   ;N;                         ;    ;
N;FED;MOOKERAWA                ;2820;PARKES                   ;N;                         ;    ;
N;FED;MOOKIMA WYBRA            ;2469;PAGE                     ;N;                         ;    ;
N;FED;MOOLARBEN                ;2850;PARKES                   ;N;                         ;    ;
N;FED;MOOLLATTOO               ;2577;GILMORE                  ;N;                         ;    ;
N;FED;MOOLPA                   ;2733;FARRER                   ;N;                         ;    ;
N;FED;MOOMBOOLDOOL             ;2665;RIVERINA                 ;N;                         ;    ;
N;FED;MOONAN BROOK             ;2337;HUNTER                   ;N;                         ;    ;
N;FED;MOONAN FLAT              ;2337;HUNTER                   ;N;                         ;    ;
N;FED;MOONBAH                  ;2627;EDEN-MONARO              ;N;                         ;    ;
N;FED;MOONBI                   ;2353;NEW ENGLAND              ;N;                         ;    ;
N;FED;MOONBRIA                 ;2710;FARRER                   ;N;                         ;    ;
N;FED;MOONEBA                  ;2440;COWPER                   ;N;                         ;    ;
N;FED;MOONEE                   ;2259;SHORTLAND                ;N;                         ;    ;
N;FED;MOONEE                   ;2450;COWPER                   ;Y;MOONEE BEACH             ;2450;
N;FED;MOONEE BEACH             ;2450;COWPER                   ;N;                         ;    ;
N;FED;MOONEY MOONEY            ;2083;ROBERTSON                ;N;                         ;    ;
N;FED;MOONEY MOONEY CREEK      ;2250;ROBERTSON                ;N;                         ;    ;
N;FED;MOONPAR                  ;2453;PAGE                     ;N;                         ;    ;
N;FED;MOORAL CREEK             ;2429;LYNE                     ;N;                         ;    ;
N;FED;MOORBEL                  ;2804;CALARE                   ;N;                         ;    ;
N;FED;MOORE CREEK              ;2340;NEW ENGLAND              ;N;                         ;    ;
N;FED;MOORE PARK               ;2021;WENTWORTH                ;N;                         ;    ;
N;FED;MOOREBANK                ;2170;HUGHES                   ;N;                         ;    ;
N;FED;MOORILDA                 ;2795;CALARE                   ;N;                         ;    ;
N;FED;MOORLAND                 ;2443;LYNE                     ;N;                         ;    ;
N;FED;MOORONG                  ;2650;RIVERINA                 ;N;                         ;    ;
N;FED;MOORWATHA                ;2640;FARRER                   ;N;                         ;    ;
N;FED;MOPARRABAH               ;2440;LYNE                     ;N;                         ;    ;
N;FED;MOPPY                    ;2422;LYNE                     ;N;                         ;    ;
N;FED;MORAGO                   ;2710;FARRER                   ;N;                         ;    ;
N;FED;MORANGARELL              ;2666;HUME                     ;N;                         ;    ;
N;FED;MORANGARELL              ;2666;RIVERINA                 ;N;                         ;    ;
N;FED;MORANS CROSSING          ;2550;EDEN-MONARO              ;N;                         ;    ;
N;FED;MOREE                    ;2400;PARKES                   ;N;                         ;    ;
N;FED;MORISSET                 ;2264;CHARLTON                 ;N;                         ;    ;
N;FED;MORISSET PARK            ;2264;CHARLTON                 ;N;                         ;    ;
N;FED;MORNING BAY              ;2105;MACKELLAR                ;N;                         ;    ;
N;FED;MORORO                   ;2469;PAGE                     ;N;                         ;    ;
N;FED;MORPETH                  ;2321;PATERSON                 ;N;                         ;    ;
N;FED;MORTDALE                 ;2223;BANKS                    ;N;                         ;    ;
N;FED;MORTLAKE                 ;2137;REID                     ;N;                         ;    ;
N;FED;MORTON                   ;2538;GILMORE                  ;N;                         ;    ;
N;FED;MORTONS CREEK            ;2446;LYNE                     ;N;                         ;    ;
N;FED;MORTS ESTATE             ;2790;CALARE                   ;N;                         ;    ;
N;FED;MORUNDAH                 ;2700;FARRER                   ;N;                         ;    ;
N;FED;MORUNDAH                 ;2700;RIVERINA                 ;N;                         ;    ;
N;FED;MORUYA                   ;2537;EDEN-MONARO              ;N;                         ;    ;
N;FED;MORUYA HEADS             ;2537;EDEN-MONARO              ;N;                         ;    ;
N;FED;MORVEN                   ;2660;FARRER                   ;N;                         ;    ;
N;FED;MOSMAN                   ;2088;WARRINGAH                ;N;                         ;    ;
N;FED;MOSS VALE                ;2577;THROSBY                  ;N;                         ;    ;
N;FED;MOSSGIEL                 ;2878;FARRER                   ;N;                         ;    ;
N;FED;MOSSGIEL                 ;2878;RIVERINA                 ;N;                         ;    ;
N;FED;MOSSY POINT              ;2537;EDEN-MONARO              ;N;                         ;    ;
N;FED;MOTO                     ;2426;LYNE                     ;N;                         ;    ;
N;FED;MOTTO FARM               ;2324;NEWCASTLE                ;Y;HEATHERBRAE              ;2324;
N;FED;MOULAMEIN                ;2733;FARRER                   ;N;                         ;    ;
N;FED;MOUNT ADRAH              ;2729;RIVERINA                 ;N;                         ;    ;
N;FED;MOUNT ANNAN              ;2567;MACARTHUR                ;N;                         ;    ;
N;FED;MOUNT AQUILA             ;2820;PARKES                   ;N;                         ;    ;
N;FED;MOUNT ARTHUR             ;2820;PARKES                   ;N;                         ;    ;
N;FED;MOUNT AUSTIN             ;2650;RIVERINA                 ;N;                         ;    ;
N;FED;MOUNT BURRELL            ;2484;RICHMOND                 ;N;                         ;    ;
